Methode,Training MSE,Training R2,Testing MSE,Testing R2
Linear Regression,1.007536295109369,0.7645051774663391,1.0206953660861033,0.7891616188563282
Random Forest,0.0830822599386482,0.9805809059634685,0.6428822430114823,0.86720401024029
